,country,year,value
534,Trinidad and Tobago,1972,8300.0
535,Tunisia,1972,9430.0
536,Turkey,1972,109000.0
537,Turkmenistan,1972,32000.0
538,Tuvalu,1972,2.27
539,Uganda,1972,16500.0
540,Ukraine,1972,584000.0
541,United Arab Emirates,1972,44900.0
542,United Kingdom,1972,822000.0
543,United States,1972,5700000.0
544,Uruguay,1972,26100.0
545,Uzbekistan,1972,88600.0
546,Vanuatu,1972,248.0
547,Venezuela,1972,130000.0
548,Vietnam,1972,78700.0
549,Yemen,1972,5350.0
550,Zambia,1972,143000.0
551,Zimbabwe,1972,21200.0
552,Afghanistan,1973,13500.0
553,Albania,1973,7350.0
554,Algeria,1973,67600.0
555,Angola,1973,44300.0
556,Antigua and Barbuda,1973,0.0
557,Argentina,1973,227000.0
558,Armenia,1973,7370.0
559,Australia,1973,333000.0
560,Austria,1973,77400.0
561,Azerbaijan,1973,30900.0
562,Bahamas,1973,0.0
563,Bahrain,1973,6760.0
564,Bangladesh,1973,111000.0
565,Barbados,1973,833.0
566,Belarus,1973,151000.0
567,Belgium,1973,172000.0
568,Belize,1973,395.0
569,Benin,1973,37000.0
570,Bhutan,1973,909.0
571,Bolivia,1973,126000.0
572,Bosnia and Herzegovina,1973,23400.0
573,Botswana,1973,8170.0
574,Brazil,1973,1020000.0
575,Brunei,1973,14600.0
576,Bulgaria,1973,92700.0
577,Burkina Faso,1973,7000.0
578,Burundi,1973,2350.0
579,Cambodia,1973,14400.0
580,Cameroon,1973,68300.0
581,Canada,1973,520000.0
582,Cape Verde,1973,211.0
583,Central African Republic,1973,111000.0
584,Chad,1973,14600.0
585,Chile,1973,44900.0
586,China,1973,2060000.0
587,Colombia,1973,118000.0
588,Comoros,1973,214.0
589,"Congo, Dem. Rep.",1973,1020000.0
590,"Congo, Rep.",1973,48600.0
591,Costa Rica,1973,6200.0
592,Cote d'Ivoire,1973,122000.0
593,Croatia,1973,28300.0
594,Cuba,1973,46300.0
595,Cyprus,1973,3450.0
596,Czech Republic,1973,211000.0
597,Denmark,1973,76600.0
598,Djibouti,1973,1130.0
599,Dominica,1973,63.7
600,Dominican Republic,1973,10900.0
601,Ecuador,1973,14200.0
602,Egypt,1973,56600.0
603,El Salvador,1973,5380.0
604,Equatorial Guinea,1973,128.0
605,Eritrea,1973,2920.0
606,Estonia,1973,68200.0
607,Eswatini,1973,1740.0
608,Ethiopia,1973,55400.0
609,Fiji,1973,1230.0
610,Finland,1973,67700.0
611,France,1973,691000.0
612,Gabon,1973,8160.0
613,Gambia,1973,838.0
614,Georgia,1973,54700.0
615,Germany,1973,1360000.0
616,Ghana,1973,22700.0
617,Greece,1973,54200.0
618,Grenada,1973,72.0
619,Guatemala,1973,9950.0
620,Guinea,1973,51500.0
621,Guinea-Bissau,1973,986.0
622,Guyana,1973,11400.0
623,Haiti,1973,4750.0
624,Honduras,1973,7870.0
625,Hungary,1973,98400.0
626,Iceland,1973,6880.0
627,India,1973,774000.0
628,Indonesia,1973,409000.0
629,Iran,1973,195000.0
630,Iraq,1973,61300.0
631,Ireland,1973,50500.0
632,Israel,1973,19600.0
633,Italy,1973,442000.0
634,Jamaica,1973,9810.0
635,Japan,1973,1130000.0
636,Jordan,1973,2700.0
637,Kazakhstan,1973,210000.0
638,Kenya,1973,23800.0
639,Kiribati,1973,0.0
640,Kuwait,1973,66600.0
641,Kyrgyz Republic,1973,17200.0
642,Lao,1973,26200.0
643,Latvia,1973,50400.0
644,Lebanon,1973,8540.0
645,Lesotho,1973,1610.0
646,Liberia,1973,1880.0
647,Libya,1973,42400.0
648,Lithuania,1973,114000.0
649,Luxembourg,1973,19300.0
650,Madagascar,1973,35200.0
651,Malawi,1973,4850.0
652,Malaysia,1973,130000.0
653,Maldives,1973,23.9
654,Mali,1973,24300.0
655,Malta,1973,974.0
656,Marshall Islands,1973,2.66
657,Mauritania,1973,4390.0
658,Mauritius,1973,757.0
659,Mexico,1973,242000.0
660,"Micronesia, Fed. Sts.",1973,27.3
661,Moldova,1973,29700.0
662,Mongolia,1973,18100.0
663,Morocco,1973,21900.0
664,Mozambique,1973,30300.0
665,Myanmar,1973,772000.0
666,Namibia,1973,6530.0
667,Nepal,1973,21100.0
668,Netherlands,1973,215000.0
669,New Zealand,1973,53700.0
670,Nicaragua,1973,8720.0
671,Niger,1973,5820.0
672,Nigeria,1973,121000.0
673,North Korea,1973,101000.0
674,North Macedonia,1973,13000.0
675,Norway,1973,61100.0
676,Oman,1973,13500.0
677,Pakistan,1973,91900.0
678,Panama,1973,6560.0
679,Papua New Guinea,1973,9590.0
680,Paraguay,1973,39100.0
681,Peru,1973,50000.0
682,Philippines,1973,88800.0
683,Poland,1973,516000.0
684,Portugal,1973,32100.0
685,Qatar,1973,21000.0
686,Romania,1973,200000.0
687,Russia,1973,2450000.0
688,Rwanda,1973,2120.0
689,Samoa,1973,119.0
690,Sao Tome and Principe,1973,42.5
691,Saudi Arabia,1973,163000.0
692,Senegal,1973,8110.0
693,Seychelles,1973,151.0
694,Sierra Leone,1973,7710.0
695,Singapore,1973,0.0
696,Slovak Republic,1973,55000.0
697,Slovenia,1973,12800.0
698,Solomon Islands,1973,4110.0
699,Somalia,1973,13300.0
700,South Africa,1973,269000.0
701,South Korea,1973,107000.0
702,Spain,1973,212000.0
703,Sri Lanka,1973,16800.0
704,St. Kitts and Nevis,1973,75.5
705,St. Lucia,1973,175.0
706,St. Vincent and the Grenadines,1973,81.6
707,Sudan,1973,66000.0
708,Suriname,1973,8390.0
709,Sweden,1973,110000.0
710,Switzerland,1973,56700.0
711,Syria,1973,10700.0
712,Tajikistan,1973,8740.0
713,Tanzania,1973,68500.0
714,Thailand,1973,122000.0
715,Timor-Leste,1973,658.0
716,Togo,1973,9930.0
717,Tonga,1973,60.2
718,Trinidad and Tobago,1973,0.0
719,Tunisia,1973,9630.0
720,Turkey,1973,115000.0
721,Turkmenistan,1973,34000.0
722,Tuvalu,1973,2.27
723,Uganda,1973,18100.0
724,Ukraine,1973,607000.0
725,United Arab Emirates,1973,56900.0
726,United Kingdom,1973,863000.0
727,United States,1973,5910000.0
728,Uruguay,1973,26700.0
729,Uzbekistan,1973,93600.0
730,Vanuatu,1973,274.0
731,Venezuela,1973,135000.0
732,Vietnam,1973,83400.0
733,Yemen,1973,5680.0
734,Zambia,1973,153000.0
735,Zimbabwe,1973,23200.0
736,Afghanistan,1974,14900.0
737,Albania,1974,7630.0
738,Algeria,1974,59300.0
739,Angola,1974,40200.0
740,Antigua and Barbuda,1974,0.0
741,Argentina,1974,229000.0
742,Armenia,1974,7980.0
743,Australia,1974,356000.0
744,Austria,1974,75100.0
745,Azerbaijan,1974,33600.0
746,Bahamas,1974,0.0
747,Bahrain,1974,7860.0
748,Bangladesh,1974,110000.0
749,Barbados,1974,706.0
750,Belarus,1974,156000.0
751,Belgium,1974,173000.0
752,Belize,1974,391.0
753,Benin,1974,29600.0
754,Bhutan,1974,925.0
755,Bolivia,1974,135000.0
756,Bosnia and Herzegovina,1974,25700.0
757,Botswana,1974,7580.0
758,Brazil,1974,1100000.0
759,Brunei,1974,10300.0
760,Bulgaria,1974,94000.0
761,Burkina Faso,1974,6560.0
762,Burundi,1974,2350.0
763,Cambodia,1974,10200.0
764,Cameroon,1974,54900.0
765,Canada,1974,538000.0
766,Cape Verde,1974,216.0
767,Central African Republic,1974,78700.0
768,Chad,1974,10800.0
769,Chile,1974,43800.0
770,China,1974,2070000.0
771,Colombia,1974,123000.0
772,Comoros,1974,219.0
773,"Congo, Dem. Rep.",1974,893000.0
774,"Congo, Rep.",1974,44100.0
775,Costa Rica,1974,6210.0
776,Cote d'Ivoire,1974,98000.0
777,Croatia,1974,28300.0
778,Cuba,1974,47900.0
779,Cyprus,1974,2680.0
780,Czech Republic,1974,195000.0
781,Denmark,1974,71600.0
782,Djibouti,1974,1230.0
783,Dominica,1974,61.8
784,Dominican Republic,1974,11800.0
785,Ecuador,1974,15900.0
786,Egypt,1974,61900.0
787,El Salvador,1974,5490.0
788,Equatorial Guinea,1974,131.0
789,Eritrea,1974,2870.0
790,Estonia,1974,69100.0
791,Eswatini,1974,1750.0
792,Ethiopia,1974,51300.0
793,Fiji,1974,1380.0
794,Finland,1974,64300.0
795,France,1974,675000.0
796,Gabon,1974,7980.0
797,Gambia,1974,799.0
798,Georgia,1974,57000.0
799,Germany,1974,1340000.0
800,Ghana,1974,19500.0
801,Greece,1974,54300.0
802,Grenada,1974,66.6
803,Guatemala,1974,10400.0
804,Guinea,1974,41700.0
805,Guinea-Bissau,1974,943.0
806,Guyana,1974,12200.0
807,Haiti,1974,4760.0
808,Honduras,1974,8620.0
809,Hungary,1974,102000.0
810,Iceland,1974,7680.0
811,India,1974,797000.0
812,Indonesia,1974,329000.0
813,Iran,1974,205000.0
814,Iraq,1974,63200.0
815,Ireland,1974,53300.0
816,Israel,1974,20100.0
817,Italy,1974,445000.0
818,Jamaica,1974,9590.0
819,Japan,1974,1120000.0
820,Jordan,1974,2820.0
821,Kazakhstan,1974,214000.0
822,Kenya,1974,24100.0
823,Kiribati,1974,0.0
824,Kuwait,1974,54800.0
825,Kyrgyz Republic,1974,17800.0
826,Lao,1974,15400.0
827,Latvia,1974,52400.0
828,Lebanon,1974,8470.0
829,Lesotho,1974,1650.0
830,Liberia,1974,1930.0
831,Libya,1974,32700.0
832,Lithuania,1974,120000.0
833,Luxembourg,1974,18000.0
834,Madagascar,1974,33200.0
835,Malawi,1974,4570.0
836,Malaysia,1974,90000.0
837,Maldives,1974,26.3
838,Mali,1974,20100.0
839,Malta,1974,904.0
840,Marshall Islands,1974,2.73
841,Mauritania,1974,3840.0
842,Mauritius,1974,767.0
843,Mexico,1974,266000.0
844,"Micronesia, Fed. Sts.",1974,26.8
845,Moldova,1974,31500.0
846,Mongolia,1974,17700.0
847,Morocco,1974,22600.0
848,Mozambique,1974,26700.0
849,Myanmar,1974,428000.0
850,Namibia,1974,6810.0
851,Nepal,1974,21300.0
852,Netherlands,1974,210000.0
853,New Zealand,1974,55500.0
854,Nicaragua,1974,9250.0
855,Niger,1974,5880.0
856,Nigeria,1974,137000.0
857,North Korea,1974,103000.0
858,North Macedonia,1974,13200.0
859,Norway,1974,60200.0
860,Oman,1974,14700.0
861,Pakistan,1974,95700.0
862,Panama,1974,6810.0
863,Papua New Guinea,1974,7310.0
864,Paraguay,1974,41900.0
865,Peru,1974,53200.0
866,Philippines,1974,84200.0
867,Poland,1974,542000.0
868,Portugal,1974,31600.0
869,Qatar,1974,18100.0
870,Romania,1974,204000.0
871,Russia,1974,2530000.0
872,Rwanda,1974,2090.0
873,Samoa,1974,131.0
874,Sao Tome and Principe,1974,43.5
875,Saudi Arabia,1974,171000.0
876,Senegal,1974,7850.0
877,Seychelles,1974,160.0
878,Sierra Leone,1974,6660.0
879,Singapore,1974,0.0
880,Slovak Republic,1974,56000.0
881,Slovenia,1974,13500.0
882,Solomon Islands,1974,4070.0
883,Somalia,1974,13300.0
